ID,EDUC,PAEDUC,MAEDUC,SPEDUC
685,12,15,12,9
686,19,12,12,15
688,14,,8,12
690,12,8,6,
691,12,8,8,12
694,16,16,13,16
695,12,12,6,16
697,19,11,11,18
698,16,12,12,15
700,17,16,12,19
701,16,12,12,14
705,15,16,16,
706,12,14,10,
707,12,8,10,
709,12,8,8,
710,12,,,12
712,20,12,12,19
713,12,6,12,
714,17,8,13,17
717,16,12,6,16
719,19,12,12,
720,12,12,8,12
722,12,6,12,
723,18,19,12,16
726,8,6,6,
728,10,5,5,10
731,8,8,,12
735,12,,12,12
737,12,9,14,11
739,15,,12,13
744,17,,13,17
745,12,8,12,14
746,16,16,16,14
747,16,16,16,15
748,18,12,12,13
749,17,16,18,18
752,12,,11,11
754,17,12,11,17
757,13,,10,
758,16,16,16,
759,13,12,12,
760,16,15,12,16
763,12,12,12,12
764,12,12,12,12
767,12,5,13,
769,19,8,,
772,12,8,8,12
774,12,,,
776,16,12,12,
777,14,,,12
780,14,17,16,
781,12,8,12,
782,12,8,12,
783,12,8,12,13
784,12,,,12
786,9,12,9,
787,8,,12,
790,8,,,
792,12,,8,
794,13,18,16,
798,15,,8,12
799,12,,,
800,15,,10,
803,12,4,5,12
804,9,8,8,
806,14,16,,
809,11,14,12,
810,16,16,,
812,13,,12,12
814,16,12,18,20
816,16,12,12,18
817,16,12,12,
818,12,16,16,
821,12,6,8,12
822,19,16,12,
824,18,16,14,13
827,18,12,14,18
833,16,14,16,16
834,14,9,12,14
836,13,8,11,
837,12,,12,
839,20,7,9,19
840,17,,11,18
841,12,14,8,
843,13,,16,
846,12,8,10,
847,11,6,13,12
849,13,16,18,
850,6,12,17,
854,14,14,16,
855,11,,9,
856,8,13,,
857,8,,,
859,12,6,12,
860,9,9,9,
861,8,,,12
864,11,8,8,11
865,18,18,12,16
866,17,12,12,17
868,17,8,18,
870,12,8,8,12
873,12,3,2,12
877,14,12,12,13
878,11,,9,
879,13,8,12,
880,16,12,11,17
884,13,,16,
887,9,,12,14
888,14,,6,
889,12,12,,
891,10,12,12,
893,9,,12,
894,13,11,,
898,13,8,,
899,3,7,8,10
900,12,12,12,
901,12,6,9,9
904,13,,,
905,13,11,12,12
907,4,,,4
908,14,13,16,
910,12,5,12,
913,11,,,10
914,11,16,16,11
917,12,5,7,
918,12,,,
920,18,15,15,16
921,10,,7,
923,12,,18,12
925,14,15,10,
927,16,,11,14
929,14,,19,12
931,17,,11,
932,14,12,12,
933,13,,12,13
937,20,16,13,13
939,16,19,16,16
940,20,16,14,
946,12,10,,
947,18,16,12,
948,15,,18,
949,19,15,8,
951,12,,12,12
953,16,12,14,
954,13,20,12,
955,14,14,16,16
958,16,20,18,16
960,15,8,12,12
963,12,8,8,18
968,12,12,12,
969,12,20,12,12
970,12,8,8,14
973,16,16,12,
974,16,12,13,
976,11,,,
977,13,8,,11
979,12,12,12,12
980,13,12,12,14
982,16,8,15,17
983,12,12,15,
986,12,10,8,
987,15,8,8,18
988,13,,,16
989,12,8,8,11
992,12,8,12,
997,12,3,10,
998,12,8,10,
1000,12,12,12,12
1003,17,12,12,
1004,12,7,12,12
1006,18,12,12,12
1009,16,9,16,
1011,14,14,14,
1012,11,2,2,12
1014,11,8,,
1016,14,,,
1019,11,,,11
1022,16,0,0,18
